sIP,domain,subcat
74.125.28.83,mail.google.com,world|computers
107.21.36.85,mnn.com,science
198.51.132.180,yelp.com,home
199.85.71.128,tsn.ca,arts|sports
50.97.195.27,indeed.com,business
152.106.6.100,uj.ac.za,world
68.169.206.169,grubhub.com,recreation
198.211.105.99,travel.state.gov,home|recreation
208.94.153.100,southwest.com,recreation|regional
94.245.104.73,nhs.uk,regional|health
64.70.72.166,addictinggames.com,games
212.72.60.220,girlsgogames.com,kids_and_teens
137.227.241.91,usgs.gov,science
128.83.40.145,utexas.edu,reference
172.233.29.95,www.kaiserpermanente.org,health|business
134.67.21.34,epa.gov,science
63.143.45.2,biblehub.com,society
216.250.115.137,republikein.com.na,world
50.204.7.40,nbcnews.com,home|arts|news
167.187.200.23,hilton.com,recreation
74.205.63.94,behance.net,business
23.212.53.190,economictimes.indiatimes.com,news|regional|business
72.233.16.130,boardgamegeek.com,games
165.254.58.27,kmart.com,shopping|business
216.220.38.20,xe.com,kids_and_teens|recreation
165.254.237.138,macys.com,regional|shopping
64.14.48.177,freelotto.com,games
107.21.200.171,alexa.com,computers
212.71.236.107,landbou.com,world
207.108.220.146,metoffice.gov.uk,news|science
146.186.15.17,psu.edu,reference
192.211.12.20,zillow.com,regional|business
54.246.159.107,livescore.com,sports
54.164.19.177,salon.com,society|arts|regional
129.228.25.181,nick.com,kids_and_teens|arts|games
130.14.16.110,nlm.nih.gov,regional|health|reference
74.125.28.113,docs.google.com,world|computers
192.81.78.114,eqla3.com,world
192.150.16.117,adobe.com,world|regional|computers
204.78.50.82,food.com,home
68.71.212.186,espn.go.com,arts|regional|reference|business|sports
184.29.106.57,cbc.ca,news|arts|regional|health|sports
170.167.8.1,costco.com,regional|shopping|business
202.154.164.95,hdfcbank.com,business
158.106.84.60,squirt.org,adult
216.187.121.100,scout.com,sports
216.250.171.190,psychologytoday.com,health
8.25.218.36,eenadu.net,news|world
198.186.175.108,bhg.com,home
169.229.216.200,berkeley.edu,science|reference
140.172.17.21,noaa.gov,science|regional
192.230.66.165,kooora.com,world
209.73.183.31,rivals.com,sports
212.58.244.20,bbc.co.uk,arts|business|world|kids_and_teens|regional|sports|health|home|news|science
