domain,sIP,shared,subcat
cbsnews.com,170.20.0.18,1,arts
cbsnews.com,170.20.0.18,1,business
worldsex.com,66.254.98.132,0,adult
skyscanner.net,85.232.57.16,1,world
skyscanner.net,85.232.57.16,1,recreation
wired.com,54.174.139.140,1,arts
wired.com,54.174.139.140,1,computers
kyknet.dstv.com,197.80.203.123,0,world
telegraph.co.uk,207.108.220.136,1,regional
telegraph.co.uk,207.108.220.136,1,health
telegraph.co.uk,207.108.220.136,1,sports
tv.yahoo.com,216.115.110.119,0,arts
addictinggames.com,64.70.72.166,0,games
givemesport.com,137.135.42.143,0,sports
biblehub.com,63.143.45.2,0,society
livescore.com,54.246.159.107,0,sports
hm.com,134.213.2.238,1,world
hm.com,134.213.2.238,1,regional
hm.com,134.213.2.238,1,shopping
hm.com,134.213.2.238,1,business
bedbathandbeyond.com,206.17.85.131,0,shopping
games.espn.go.com,199.181.133.45,0,sports
digitaltrends.com,207.198.114.123,0,home
merriam-webster.com,38.69.47.251,1,reference
merriam-webster.com,38.69.47.251,1,business
menshealth.com,54.243.140.38,1,society
menshealth.com,54.243.140.38,1,health
autos.yahoo.com,98.139.199.204,1,home
autos.yahoo.com,98.139.199.204,1,shopping
jcpenney.com,23.6.108.215,0,shopping
emedicine.medscape.com,23.207.61.142,0,health
oglaf.com,208.113.148.140,0,adult
dict.leo.org,62.146.26.38,1,world
dict.leo.org,62.146.26.38,1,reference
usgs.gov,137.227.241.91,0,science
square-enix.com,202.67.53.202,1,teens
square-enix.com,202.67.53.202,1,games
stumbleupon.com,199.30.80.32,1,computers
stumbleupon.com,199.30.80.32,1,reference
weather.gov,204.227.127.201,1,news
weather.gov,204.227.127.201,1,regional
weather.gov,204.227.127.201,1,science
fatwallet.com,72.5.2.60,0,home
espnfc.com,199.181.132.250,0,teens
leagueoflegends.com,107.20.226.78,1,teens
leagueoflegends.com,107.20.226.78,1,games
cam4.com,199.59.88.246,0,adult
staples.com,170.37.25.140,1,regional
staples.com,170.37.25.140,1,shopping
proxify.com,23.105.170.38,0,vpn
southwest.com,208.94.153.100,1,recreation
southwest.com,208.94.153.100,1,regional
bleacherreport.com,107.21.120.232,0,sports
t-mobile.com,206.29.177.10,0,business
metacritic.com,23.23.171.117,0,arts
stackoverflow.com,198.252.206.140,1,computers
stackoverflow.com,198.252.206.140,1,reference
elsevier.com,176.65.66.66,1,science
elsevier.com,176.65.66.66,1,reference
hulu.com,67.135.105.16,0,arts
sciencedaily.com,54.174.118.57,1,teens
sciencedaily.com,54.174.118.57,1,science
latimes.com,163.192.187.17,1,news
latimes.com,163.192.187.17,1,regional
latimes.com,163.192.187.17,1,business
latimes.com,163.192.187.17,1,sports
ieee.org,140.98.193.141,1,science
ieee.org,140.98.193.141,1,computers
www.kaiserpermanente.org,172.233.29.95,1,health
www.kaiserpermanente.org,172.233.29.95,1,business
usda.gov,162.79.29.12,0,science
cartoonnetwork.com,157.166.239.102,1,teens
cartoonnetwork.com,157.166.239.102,1,arts
howstuffworks.com,54.88.59.132,1,teens
howstuffworks.com,54.88.59.132,1,reference
howstuffworks.com,54.88.59.132,1,science
fafsa.ed.gov,172.233.17.240,1,teens
fafsa.ed.gov,172.233.17.240,1,reference
getlantern.org,205.251.253.116,0,circum
researchgate.net,69.174.243.184,0,science
target.com,23.59.189.106,1,regional
target.com,23.59.189.106,1,shopping
target.com,23.59.189.106,1,business
bestbuy.com,207.108.220.154,1,regional
bestbuy.com,207.108.220.154,1,shopping
economictimes.indiatimes.com,23.212.53.190,1,news
economictimes.indiatimes.com,23.212.53.190,1,regional
economictimes.indiatimes.com,23.212.53.190,1,business
opentable.com,66.151.130.32,0,recreation
www.edx.org,54.163.241.169,0,reference
rotoworld.com,64.210.192.54,0,sports
digg.com,50.18.188.137,0,society
hindustantimes.com,124.153.79.225,1,news
hindustantimes.com,124.153.79.225,1,regional
yelp.com,198.51.132.180,0,home
patents.uspto.gov,151.207.240.133,0,health
vpnintouch.com,54.164.120.232,0,vpn
entrepreneur.com,207.171.3.201,0,business
iafd.com,216.118.89.130,0,adult
zara.com,23.198.162.41,0,business
store.steampowered.com,23.201.61.210,1,shopping
store.steampowered.com,23.201.61.210,1,games
myfitnesspal.com,50.17.211.188,0,health
news.com.au,23.59.189.89,1,news
news.com.au,23.59.189.89,1,arts
news.com.au,23.59.189.89,1,regional
deviantart.com,199.15.160.100,0,arts
theonion.com,97.107.137.164,1,news
theonion.com,97.107.137.164,1,recreation
