sIP,domain,subcat
207.171.3.201,entrepreneur.com,business
216.118.89.130,iafd.com,adult
23.198.162.41,zara.com,business
23.201.61.210,store.steampowered.com,shopping|games
50.17.211.188,myfitnesspal.com,health
23.59.189.89,news.com.au,news|arts|regional
199.15.160.100,deviantart.com,arts
97.107.137.164,theonion.com,news|recreation
198.81.200.2,sciencedirect.com,science
23.23.191.68,netflix.com,shopping
64.106.177.144,scientificamerican.com,science
107.21.200.171,alexa.com,computers
141.138.130.12,williamhill.com,regional|games
209.67.254.80,manhunt.net,adult
199.119.112.23,bitmask.net,circum
206.132.6.134,reuters.com,news|regional|business
195.244.30.136,deezer.com,arts
69.60.134.134,makeupalley.com,health
198.50.131.127,infowars.com,society
157.166.226.25,cnn.com,science|teens|arts|health|news
213.146.191.132,newsnow.co.uk,news|regional|sports
192.249.116.218,alkasir.com,circum
68.169.80.241,ftvgirls.com,adult
64.124.61.10,whitepages.com,reference
204.14.132.173,apa.org,science|health
208.253.22.120,foodandwine.com,home|recreation
66.155.35.222,justjared.com,society
37.72.173.157,femjoy.com,adult
67.215.92.210,opendns.com,home|computers
98.137.201.252,search.yahoo.com,world|computers
173.192.128.45,fatakat.com,world
74.205.22.3,fixya.com,home
216.131.114.237,strongvpn.com,vpn
75.101.199.39,justanswer.com,reference
54.230.219.62,zh.greatfire.org,circum
184.28.188.154,foxnews.com,news|arts|regional|health
212.72.60.220,girlsgogames.com,teens
204.93.155.69,mrskin.com,adult
199.181.131.249,go.com,computers
192.150.16.117,adobe.com,world|regional|computers
50.16.229.208,biblegateway.com,society
199.167.42.108,fontsquirrel.com,teens
195.93.246.56,ar.rian.ru,world
67.135.105.50,caranddriver.com,recreation|regional
173.252.120.6,facebook.com,society|arts|regional|world
128.95.155.198,washington.edu,reference
96.17.202.179,fantasy.nfl.com,sports
194.132.198.165,spotify.com,arts
50.97.195.27,indeed.com,business
161.58.179.241,yellowpages.sulekha.com,reference
173.236.226.119,bravenewsoftware.org,circum
208.53.33.118,barnesandnoble.com,shopping
157.166.248.245,nba.com,sports
54.209.186.217,ign.com,teens|arts|games
166.70.35.136,space.com,teens|science
207.241.224.2,archive.org,computers|reference
54.225.69.238,prevention.com,health
185.26.230.129,virtua-fighter-4.com,teens
199.168.13.77,nature.com,science
74.117.179.22,nudevista.com,adult
198.211.105.99,travel.state.gov,home|recreation
50.19.210.76,mbc.net,world
208.93.105.173,yellowpages.com,reference
54.236.202.112,harvard.edu,reference
128.97.27.37,ucla.edu,reference
196.22.143.67,cricket.co.za,world
23.23.224.106,khanacademy.org,teens
209.48.35.174,collegeboard.org,society|reference
130.14.16.110,nlm.nih.gov,regional|health|reference
54.68.178.116,sitepoint.com,teens|regional|computers|business
153.13.148.23,bettycrocker.com,home|business
66.235.120.127,ask.com,computers
74.117.180.88,videosexarchive.com,adult
174.123.175.139,debonairblog.com,adult
213.133.104.105,watkykjy.co.za,world
204.78.50.45,foodnetwork.com,arts
